,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots,Matches
0,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,43,23,31,10,2,23,50,46.0,27,31,9,22,45,88,52,1,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,48,30,33,9,6,18,36,50.0,18,46,29,17,37,85,97,1,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,46,33,29,15,2,17,30,56.7,13,26,14,12,47,93,99,1,Matches
3,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,0,0,0,0,0,0,3,0.0,3,2,1,1,1,1,1,0,Matches
4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,55,29,18,32,5,20,53,37.7,33,16,3,13,23,78,8,1,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,9,9,2,5,2,2,7,28.6,5,2,0,2,4,13,4,0,Matches
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,21,14,16,4,1,15,32,46.9,17,27,11,16,25,46,61,1,Matches
7,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,8,4,2,5,1,3,14,21.4,11,20,2,18,6,14,27,0,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,16,8,7,8,1,10,19,52.6,9,18,3,15,7,23,16,2,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,59,29,42,12,5,14,20,70.0,6,40,27,13,42,101,109,1,Matches
10,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,6,4,1,5,0,1,4,25.0,3,9,1,8,2,8,10,0,Matches
11,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,1999,10.6,22,15,13,8,1,12,25,48.0,13,16,1,15,14,36,14,0,Matches
12,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,11,7,3,6,2,3,21,14.3,18,8,1,7,2,13,4,0,Matches
13,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
14,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,3,2,0,3,0,0,5,0.0,5,0,0,0,2,5,1,0,Matches
15,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,5,3,4,1,0,2,3,66.7,1,4,3,1,3,8,7,0,Matches
16,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
17,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,22,14,4,15,3,11,34,32.4,23,10,0,10,8,30,3,0,Matches
18,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,3,Matches
19,Aritz Aduriz,es ESP,"FW,MF",Athletic Club,es La Liga,38,1981,2.3,3,2,0,3,0,0,0,,0,0,0,0,0,3,2,0,Matches
20,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,31,21,19,9,3,16,35,45.7,19,13,2,11,21,52,66,1,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,55,30,32,18,5,30,54,55.6,24,19,7,12,18,73,48,0,Matches
22,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,3,2,0,2,1,0,0,,0,3,1,2,0,3,0,0,Matches
23,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,2,1,0,1,1,0,1,0.0,1,1,0,1,1,3,0,0,Matches
24,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,23,14,9,12,2,10,20,50.0,10,12,1,11,6,29,2,0,Matches
25,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,13,9,7,5,1,8,12,66.7,4,11,11,0,18,31,54,0,Matches
26,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,7,4,0,4,3,1,8,12.5,7,9,1,8,3,10,2,0,Matches
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,36,22,19,15,2,19,28,67.9,9,6,2,4,11,47,21,0,Matches
28,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,1,1,0,1,0,1,2,50.0,1,2,2,0,1,2,6,0,Matches
29,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,16,12,2,11,3,3,9,33.3,6,6,1,5,15,31,10,0,Matches
30,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,43,27,30,11,2,13,27,48.1,14,31,14,17,45,88,124,3,Matches
31,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,45,24,23,18,4,17,37,45.9,20,24,6,18,41,86,61,0,Matches
32,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,11,8,6,4,1,4,24,16.7,20,6,1,5,4,15,10,1,Matches
33,Rayan Aït Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,29,22,14,8,7,10,21,47.6,11,14,1,13,18,47,33,0,Matches
34,Albian Ajeti,ch SUI,FW,West Ham,eng Premier League,22,1997,1.5,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
35,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,25,1994,22.9,15,10,2,10,3,2,13,15.4,11,11,0,11,2,17,20,0,Matches
36,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,38,21,23,14,1,12,20,60.0,8,20,11,9,30,68,61,2,Matches
37,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,2,2,1,1,0,1,3,33.3,2,0,0,0,1,3,1,0,Matches
38,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,31,21,23,8,0,14,23,60.9,9,40,29,11,36,67,152,0,Matches
39,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,16,8,8,6,2,5,12,41.7,7,6,1,5,5,21,5,0,Matches
40,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,24,16,20,4,0,13,24,54.2,11,21,11,10,13,37,48,0,Matches
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,30,17,14,15,1,16,25,64.0,9,19,10,9,29,59,40,0,Matches
42,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,45,26,25,13,7,25,48,52.1,23,13,2,11,23,68,39,3,Matches
43,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,6,3,0,4,2,1,8,12.5,7,12,2,10,1,7,9,0,Matches
44,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,20,13,9,7,4,6,27,22.2,21,12,3,9,37,57,40,0,Matches
45,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,50,30,21,19,10,27,82,32.9,55,32,1,31,21,71,9,1,Matches
46,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,43,23,27,16,0,18,27,66.7,9,29,21,8,42,85,175,2,Matches
47,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,24,17,10,13,1,9,30,30.0,21,19,2,17,10,34,8,0,Matches
