,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots
0,0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0
1,1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,35.0,22,18.0,17.0,0.0,19.0,43.0,44.2,24.0,18.0,6.0,12.0,30,65.0,40.0,2.0
2,2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,59.0,37,36.0,23.0,0.0,26.0,42.0,61.9,16.0,34.0,15.0,19.0,61,120.0,132.0,0.0
3,3,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,2.0,0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,2.0,0.0,0.0
4,4,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,34.0,19,16.0,14.0,4.0,15.0,30.0,50.0,15.0,9.0,2.0,7.0,20,54.0,10.0,0.0
5,5,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,145.0,84,64.0,69.0,12.0,54.0,162.0,33.3,108.0,64.0,6.0,58.0,46,191.0,12.0,0.0
6,6,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,8.0,2,5.0,0.0,3.0,3.0,12.0,25.0,9.0,6.0,2.0,4.0,4,12.0,5.0,0.0
7,7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8,8,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14.0,15.0,13,10.0,5.0,0.0,6.0,10.0,60.0,4.0,7.0,4.0,3.0,27,42.0,87.0,0.0
9,9,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34,1986,13.6,18.0,12,13.0,3.0,2.0,11.0,17.0,64.7,6.0,13.0,4.0,9.0,17,35.0,34.0,0.0
10,10,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,7.0,5,3.0,3.0,1.0,1.0,7.0,14.3,6.0,6.0,0.0,6.0,5,12.0,17.0,0.0
11,11,Amir Abrashi,al ALB,"MF,DF",Freiburg,de Bundesliga,30,1990,0.7,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2,3.0,1.0,0.0
12,12,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,6.0,4,1.0,4.0,1.0,2.0,7.0,28.6,5.0,4.0,1.0,3.0,4,10.0,4.0,0.0
13,13,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,51.0,32,34.0,13.0,4.0,18.0,40.0,45.0,22.0,24.0,15.0,9.0,76,127.0,121.0,2.0
14,14,Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,de Bundesliga,22,1998,1.1,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,3.0,1.0,0.0
15,15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,62.0,42,34.0,20.0,8.0,23.0,41.0,56.1,18.0,23.0,2.0,21.0,23,85.0,30.0,1.0
16,16,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,25.0,16,4.0,15.0,6.0,6.0,17.0,35.3,11.0,20.0,2.0,18.0,4,29.0,19.0,1.0
17,17,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,21,1999,20.6,35.0,24,12.0,15.0,8.0,17.0,31.0,54.8,14.0,22.0,5.0,17.0,29,64.0,30.0,0.0
18,18,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27,1993,5.3,9.0,4,4.0,3.0,2.0,7.0,14.0,50.0,7.0,2.0,0.0,2.0,6,15.0,1.0,0.0
