,Player,Nation,Position,Squad,Competition,Age,Born,90s,Goals,Shots_total,Shots_on_target,Shots_on_target_%,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Average_shot_distance,Shots_free_kicks,Pens_Scored,Pens_Attempted,XG,Npxg,Npxg_per_shot,Xg_net,Npxg_net,Matches
0,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,19,1999,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,45,11,24.4,1.27,0.31,0.07,0.27,20.7,0,0,0,2.6,2.6,0.06,+0.4,+0.4,Matches
2,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,0,1,1,100.0,0.07,0.07,0.00,0.00,12.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38.0,0,19,4,21.1,0.50,0.11,0.00,0.00,15.4,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Matches
4,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,3,36,10,27.8,1.60,0.44,0.06,0.20,24.9,0,1,1,2.9,2.1,0.06,+0.1,-0.1,Matches
5,Charles Abi,fr FRA,"DF,FW",Saint-Étienne,fr Ligue 1,18,2000,0.4,0,1,0,0.0,2.81,0.00,0.00,,15.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
6,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,32,1986,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,11.4,0,0,0,0.8,0.8,0.15,-0.8,-0.8,Matches
7,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,0,7,2,28.6,0.80,0.23,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
8,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,3,18,7,38.9,0.49,0.19,0.17,0.43,9.8,0,0,0,3.4,3.4,0.20,-0.4,-0.4,Matches
9,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,2,22,7,31.8,1.31,0.42,0.09,0.29,20.8,0,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches
10,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,0,2,1,50.0,0.25,0.12,0.00,0.00,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
11,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
