,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots
0,0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23.0,2000.0,13.7,29.0,19,20.0,7.0,2.0,20.0,34.0,58.8,14.0,9.0,5.0,4.0,8,37.0,27.0,0.0
1,1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22.0,2000.0,14.1,32.0,18,13.0,13.0,6.0,16.0,32.0,50.0,16.0,26.0,1.0,25.0,2,34.0,4.0,0.0
2,2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19.0,2003.0,1.1,2.0,2,1.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,2.0,0,2.0,0.0,0.0
3,3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17.0,2006.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35.0,1987.0,30.9,64.0,35,36.0,23.0,5.0,26.0,45.0,57.8,19.0,51.0,32.0,19.0,39,103.0,109.0,2.0
5,5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23.0,2000.0,16.9,21.0,14,8.0,10.0,3.0,8.0,18.0,44.4,10.0,12.0,1.0,11.0,12,33.0,18.0,0.0
6,6,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20.0,2002.0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,4.0,0.0
7,7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30.0,1993.0,31.8,85.0,52,43.0,34.0,8.0,38.0,96.0,39.6,58.0,29.0,6.0,23.0,61,146.0,61.0,3.0
8,8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20.0,2003.0,11.6,9.0,4,4.0,3.0,2.0,3.0,8.0,37.5,5.0,3.0,0.0,3.0,3,12.0,5.0,0.0
9,9,Abner,br BRA,DF,Betis,es La Liga,23.0,2000.0,15.6,25.0,19,15.0,9.0,1.0,17.0,34.0,50.0,17.0,23.0,5.0,18.0,15,40.0,62.0,0.0
10,10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23.0,2000.0,8.4,9.0,8,1.0,5.0,3.0,3.0,12.0,25.0,9.0,9.0,1.0,8.0,1,10.0,2.0,0.0
11,11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24.0,1999.0,25.7,35.0,19,28.0,5.0,2.0,21.0,35.0,60.0,14.0,31.0,26.0,5.0,23,58.0,115.0,0.0
12,12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25.0,1997.0,2.7,3.0,1,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,3.0,4.0,0.0
13,13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35.0,1988.0,26.5,22.0,13,16.0,6.0,0.0,11.0,14.0,78.6,3.0,20.0,13.0,7.0,32,54.0,77.0,1.0
14,14,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17.0,2006.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0,0.0,0.0,0.0
15,15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31.0,1991.0,14.4,33.0,21,20.0,12.0,1.0,9.0,14.0,64.3,5.0,12.0,2.0,10.0,4,37.0,25.0,0.0
16,18,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23.0,2000.0,25.0,12.0,4,3.0,4.0,5.0,3.0,7.0,42.9,4.0,9.0,2.0,7.0,5,17.0,11.0,0.0
17,19,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24.0,1999.0,1.3,4.0,3,1.0,3.0,0.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,4,8.0,2.0,0.0
18,20,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22.0,2001.0,1.2,5.0,1,1.0,2.0,2.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0,5.0,2.0,0.0
19,21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30.0,1993.0,8.9,14.0,9,2.0,9.0,3.0,6.0,11.0,54.5,5.0,16.0,1.0,15.0,5,19.0,7.0,0.0
20,22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25.0,1997.0,18.0,21.0,11,16.0,5.0,0.0,12.0,21.0,57.1,9.0,16.0,11.0,5.0,25,46.0,80.0,0.0
21,23,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25.0,1998.0,15.8,4.0,1,1.0,0.0,3.0,1.0,12.0,8.3,11.0,13.0,2.0,11.0,6,10.0,25.0,0.0
22,24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21.0,2002.0,10.1,16.0,14,9.0,4.0,3.0,8.0,20.0,40.0,12.0,11.0,0.0,11.0,3,19.0,5.0,0.0
23,25,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21.0,2002.0,24.7,45.0,20,23.0,11.0,11.0,19.0,42.0,45.2,23.0,31.0,1.0,30.0,19,64.0,22.0,0.0
24,26,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20.0,2002.0,13.8,13.0,9,8.0,3.0,2.0,6.0,7.0,85.7,1.0,15.0,8.0,7.0,18,31.0,64.0,1.0
25,27,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23.0,2000.0,10.0,16.0,7,2.0,10.0,4.0,7.0,17.0,41.2,10.0,10.0,2.0,8.0,6,22.0,5.0,0.0
26,28,Yacine Adli,fr FRA,MF,Milan,it Serie A,23.0,2000.0,15.6,34.0,17,17.0,13.0,4.0,13.0,35.0,37.1,22.0,22.0,8.0,14.0,20,54.0,15.0,1.0
27,29,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25.0,1998.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3.0,0.0
28,30,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22.0,2000.0,2.6,7.0,6,1.0,6.0,0.0,2.0,2.0,100.0,0.0,5.0,0.0,5.0,2,9.0,2.0,0.0
29,31,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26.0,1997.0,24.8,35.0,20,9.0,20.0,6.0,15.0,34.0,44.1,19.0,28.0,6.0,22.0,12,47.0,22.0,0.0
30,32,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26.0,1997.0,28.8,65.0,41,38.0,23.0,4.0,44.0,64.0,68.8,20.0,47.0,25.0,22.0,55,120.0,116.0,1.0
31,36,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,23.0,1999.0,17.9,45.0,29,28.0,13.0,4.0,29.0,41.0,70.7,12.0,27.0,7.0,20.0,13,58.0,41.0,0.0
32,37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27.0,1996.0,20.6,26.0,14,19.0,7.0,0.0,16.0,22.0,72.7,6.0,33.0,24.0,9.0,17,43.0,85.0,2.0
33,38,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30.0,1993.0,21.4,53.0,31,27.0,23.0,3.0,27.0,45.0,60.0,18.0,35.0,5.0,30.0,26,79.0,46.0,0.0
34,39,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20.0,2003.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
35,40,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21.0,2002.0,3.9,13.0,9,5.0,6.0,2.0,8.0,17.0,47.1,9.0,3.0,0.0,3.0,2,15.0,4.0,0.0
36,41,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24.0,1999.0,29.4,64.0,36,48.0,14.0,2.0,30.0,49.0,61.2,19.0,43.0,26.0,17.0,35,99.0,137.0,2.0
37,42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27.0,1995.0,4.5,8.0,3,6.0,2.0,0.0,4.0,8.0,50.0,4.0,3.0,1.0,2.0,4,12.0,28.0,0.0
38,43,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26.0,1996.0,18.8,47.0,31,31.0,12.0,4.0,29.0,41.0,70.7,12.0,19.0,3.0,16.0,18,65.0,51.0,1.0
39,44,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22.0,2001.0,25.9,71.0,44,41.0,23.0,7.0,28.0,49.0,57.1,21.0,32.0,6.0,26.0,15,86.0,38.0,0.0
40,45,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25.0,1998.0,10.0,6.0,4,2.0,3.0,1.0,3.0,9.0,33.3,6.0,4.0,1.0,3.0,2,8.0,8.0,0.0
41,46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25.0,1998.0,20.4,38.0,21,25.0,9.0,4.0,23.0,36.0,63.9,13.0,26.0,11.0,15.0,25,63.0,79.0,1.0
42,47,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29.0,1994.0,15.1,3.0,2,1.0,2.0,0.0,2.0,11.0,18.2,9.0,6.0,2.0,4.0,4,7.0,11.0,0.0
43,48,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28.0,1995.0,27.9,42.0,28,16.0,18.0,8.0,22.0,39.0,56.4,17.0,28.0,12.0,16.0,23,65.0,70.0,3.0
44,49,Marley Aké,fr FRA,FW,Udinese,it Serie A,22.0,2001.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
45,50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28.0,1995.0,22.7,26.0,16,15.0,8.0,3.0,13.0,20.0,65.0,7.0,17.0,2.0,15.0,14,40.0,54.0,0.0
46,51,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19.0,2004.0,16.8,36.0,21,11.0,16.0,9.0,10.0,20.0,50.0,10.0,10.0,2.0,8.0,13,49.0,13.0,0.0
