,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot_Creating_Action,Shot_Creating_Action_per90,Pass_Live_Shot,Pass_Dead_Shot,Take_Ons_Shot,Shot-Shot,Fouls_drawn_Shot,Defensive_Shot,Goal_Creating_Action,Goal_Creating_Action_90,Pass_Live_Goal,Pass_Dead_Goal,Take_Ons_Goal,Shot_Goal,Fouls_Drawn_Goal,Defensive_Goal,Matches
0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0,Matches
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0,Matches
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,2003,1.1,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,Matches
3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,Matches
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,27,1.60,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,Matches
6,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1,Matches
8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,2003,11.6,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0,Matches
9,Abner,br BRA,DF,Betis,es La Liga,23,2000,15.6,14,0.90,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,2000,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0,Matches
