,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots,Matches
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,45,18,16,22,7,15,46,32.6,31,43,3,40,5,50,6,1,Matches
1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0,Matches
2,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,1,1,0,1,0,0,0,,0,4,2,2,0,1,5,0,Matches
3,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,82,50,47,33,2,39,52,75.0,13,65,27,38,64,146,116,1,Matches
5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,64,38,22,32,10,31,67,46.3,36,30,1,29,28,92,15,0,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,46,26,18,23,5,29,52,55.8,23,38,9,29,36,82,26,0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,92,52,59,30,3,39,92,42.4,53,47,8,39,34,126,39,0,Matches
8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,10,6,6,3,1,7,16,43.8,9,7,1,6,5,15,17,0,Matches
9,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,4,2,0,3,1,0,5,0.0,5,6,1,5,1,5,1,0,Matches
10,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0,Matches
11,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,12,9,9,2,1,7,16,43.8,9,8,2,6,8,20,24,0,Matches
12,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,33,23,13,9,11,14,45,31.1,31,18,1,17,22,55,23,0,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,17,10,4,8,5,3,16,18.8,13,10,4,6,3,20,14,0,Matches
14,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,33,19,22,7,4,20,27,74.1,7,25,18,7,41,74,85,2,Matches
16,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
17,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
18,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,57,36,34,17,6,30,42,71.4,12,16,5,11,23,80,36,0,Matches
19,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,17,13,7,8,2,7,12,58.3,5,13,4,9,4,21,22,0,Matches
20,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,89,46,44,35,10,50,77,64.9,27,48,8,40,35,124,29,0,Matches
21,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,14,7,5,3,6,7,17,41.2,10,12,0,12,4,18,5,0,Matches
22,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,30,13,22,6,2,16,23,69.6,7,20,15,5,26,56,140,1,Matches
23,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0,Matches
24,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,16,11,6,6,4,8,30,26.7,22,18,1,17,7,23,3,0,Matches
25,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,18,10,4,6,8,5,17,29.4,12,28,2,26,6,24,7,0,Matches
26,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,6,3,2,4,0,2,2,100.0,0,2,0,2,1,7,1,0,Matches
27,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,12,6,3,6,3,2,18,11.1,16,14,2,12,7,19,9,0,Matches
28,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,7,3,4,1,2,2,10,20.0,8,5,1,4,1,8,6,0,Matches
29,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,71,49,53,16,2,42,65,64.6,23,30,14,16,32,103,107,3,Matches
30,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
31,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,42,25,18,15,9,17,33,51.5,16,14,5,9,27,69,24,0,Matches
32,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
33,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21.0,27,15,13,11,3,15,25,60.0,10,16,4,12,13,40,15,0,Matches
34,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,71,38,22,30,19,25,59,42.4,34,39,5,34,10,81,6,0,Matches
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,27,18,18,8,1,13,20,65.0,7,26,24,2,18,45,79,2,Matches
36,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13.0,19,9,7,7,5,8,22,36.4,14,13,1,12,18,37,28,1,Matches
37,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1.0,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0,Matches
38,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,17,11,7,7,3,8,20,40.0,12,16,5,11,8,25,7,0,Matches
39,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
40,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,34,20,10,20,4,12,31,38.7,19,25,0,25,24,58,15,0,Matches
41,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,51,36,33,17,1,16,28,57.1,12,26,14,12,31,82,150,0,Matches
