,Unnamed: 0.1,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Gk_free_kick_goals_against,Gk_corner_kick_goals_against,Gk_own_goals_against,Gk_psxg,Gk_psxg_per_shot_on_target_against,Gk_psxg_diff,Gk_psxg_net_per90,Gk_passes_completed_launched,Gk_passes_attempted_launched,Gk_passes_pct_launched,Gk_passes,Gk_passes_throws,Gk_pct_passes_launched,Gk_passes_length_avg,Gk_goal_kicks,Gk_pct_goal_kicks_launched,Gk_goal_kick_length_avg,Gk_crosses_faced,Gk_crosses_stopped,Gk_crosses_stopped_pct,Gk_def_actions_outside_pen_area,Gk_def_actions_outside_pen_area_per90,Gk_avg_distance_def_actions,Gk_goal_kicks_launched,Gk_passes_launched,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists,xAG,xA,A-xAG,Key_Passes,Passes_1/3,Passes_Penalty_Area,Crosses_Penalty_Area,Progressive_Passes,Goal_Creating_Action,Shot_Creating_Action,Shot_Creating_Action_per90,Goal_Creating_Action_90,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Tocuhes_Live_Balls,Carries,Passes_Received,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Tocuhes_Live_Balls_per_90,Carries_per_90,Passes_Received_per_90
1,1,1,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28,28,2520,28.0,30,1.07,109,80,73.4,16,8,4,8,28.6,1,1,0,0,0.0,0.0,4.0,1.0,28.7,0.26,-0.3,-0.01,60.0,183.0,32.8,1021.0,140.0,14.1,24.7,116.0,33.6,33.3,299.0,13.0,4.3,33.0,1.18,17.7,38,143,985.0,1142.0,86.3,21428.0,13147.0,238.0,239.0,99.6,597.0,607.0,98.4,147.0,284.0,51.8,0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,5.0,0.0,11.0,0.39,0.0,754.0,1145.0,52.0,1196.0,850.0,764.0,26.93,40.89,1.86,42.71,30.36,27.29
2,2,2,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,31,31,2699,30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,5,2,0,28.6,0.0,3.0,3.0,52.1,0.24,2.1,0.07,160.0,430.0,37.2,643.0,144.0,43.9,36.8,219.0,67.6,47.3,468.0,27.0,5.8,7.0,0.23,8.9,148,282,562.0,867.0,64.8,17799.0,12917.0,74.0,76.0,97.4,245.0,246.0,99.6,241.0,538.0,44.8,0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.07,0.0,835.0,969.0,7.0,976.0,498.0,345.0,27.83,32.3,0.23,32.53,16.6,11.5
4,4,4,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,14,13,1198,13.3,9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,0.0,0.0,0.0,1.0,10.0,0.28,2.0,0.15,34.0,92.0,37.0,386.0,57.0,19.2,27.0,70.0,25.7,30.6,157.0,6.0,3.8,10.0,0.75,14.7,17,74,386.0,456.0,84.6,8976.0,5956.0,89.0,90.0,98.9,225.0,226.0,99.6,72.0,139.0,51.8,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,471.0,3.0,474.0,313.0,300.0,30.98,35.41,0.23,35.64,23.53,22.56
5,5,5,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0,1.0,5.0,1.0,50.0,0.3,-7.0,-0.21,193.0,568.0,34.0,1148.0,160.0,35.4,34.2,241.0,67.2,50.7,485.0,31.0,6.4,30.0,0.88,13.6,161,406,982.0,1392.0,70.5,28328.0,20599.0,171.0,173.0,98.8,468.0,474.0,98.7,343.0,741.0,46.3,0,0.0,0.2,0.0,0.0,33.0,2.0,0.0,1.0,0.0,4.0,0.12,0.0,1103.0,1440.0,22.0,1461.0,835.0,729.0,32.44,42.35,0.65,42.97,24.56,21.44
8,8,8,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17,17,1530,17.0,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,0.0,0.0,6.0,0.0,22.6,0.27,-5.4,-0.32,127.0,354.0,35.9,566.0,78.0,45.8,39.4,122.0,77.9,55.9,275.0,23.0,8.4,18.0,1.06,14.2,95,259,445.0,689.0,64.6,14317.0,11262.0,73.0,73.0,100.0,196.0,198.0,99.0,176.0,416.0,42.3,0,0.0,0.1,0.0,1.0,26.0,0.0,0.0,1.0,0.0,6.0,0.35,0.0,581.0,719.0,14.0,734.0,408.0,301.0,34.18,42.29,0.82,43.18,24.0,17.71
10,10,10,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33,1990,34,34,3060,34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0,3.0,9.0,1.0,68.6,0.31,3.6,0.11,208.0,529.0,39.3,1159.0,165.0,33.7,32.7,249.0,55.4,44.9,545.0,31.0,5.7,73.0,2.15,16.7,137,390,1055.0,1412.0,74.7,29010.0,21712.0,217.0,219.0,99.1,508.0,513.0,99.0,318.0,664.0,47.9,1,0.2,0.1,0.8,2.0,24.0,2.0,0.0,1.0,1.0,6.0,0.18,0.03,1225.0,1492.0,31.0,1521.0,817.0,735.0,36.03,43.88,0.91,44.74,24.03,21.62
11,11,11,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15,15,1350,15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,3,1,0,25.0,0.0,1.0,1.0,19.8,0.25,-5.2,-0.35,56.0,183.0,30.6,440.0,57.0,36.4,34.4,61.0,37.7,36.0,203.0,19.0,9.4,21.0,1.4,13.4,22,160,352.0,504.0,69.8,9261.0,5681.0,63.0,63.0,100.0,189.0,196.0,96.4,97.0,238.0,40.8,0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,1.0,0.07,0.0,413.0,540.0,3.0,542.0,415.0,300.0,27.53,36.0,0.2,36.13,27.67,20.0
13,13,13,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,0.0,5.0,1.0,20.7,0.24,-3.3,-0.24,44.0,184.0,23.9,400.0,75.0,34.8,33.0,90.0,50.0,40.8,236.0,11.0,4.7,10.0,0.71,12.4,45,139,339.0,494.0,68.6,8491.0,5766.0,73.0,73.0,100.0,184.0,188.0,97.9,81.0,228.0,35.5,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.14,0.0,456.0,530.0,2.0,532.0,314.0,245.0,32.57,37.86,0.14,38.0,22.43,17.5
15,15,15,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32,1991,32,32,2876,32.0,34,1.06,129,94,75.2,15,10,7,13,40.6,3,2,1,0,33.3,0.0,4.0,0.0,36.2,0.27,2.2,0.07,232.0,482.0,48.1,908.0,134.0,39.3,35.1,188.0,66.5,47.3,382.0,18.0,4.7,41.0,1.28,15.7,125,356,826.0,1100.0,75.1,25531.0,18973.0,95.0,95.0,100.0,404.0,404.0,100.0,325.0,595.0,54.6,0,0.1,0.1,-0.1,3.0,15.0,0.0,0.0,1.0,0.0,5.0,0.16,0.0,988.0,1177.0,8.0,1185.0,838.0,632.0,30.88,36.78,0.25,37.03,26.19,19.75
17,17,17,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32,1991,21,21,1890,21.0,30,1.43,76,46,65.8,10,4,7,5,23.8,4,4,0,0,0.0,0.0,7.0,0.0,25.3,0.28,-4.7,-0.22,57.0,155.0,36.8,822.0,89.0,14.7,25.7,134.0,25.4,30.7,251.0,16.0,6.4,37.0,1.76,17.6,34,120,836.0,957.0,87.4,19207.0,10184.0,179.0,183.0,97.8,493.0,497.0,99.2,163.0,274.0,59.5,0,0.1,0.1,-0.1,1.0,10.0,0.0,0.0,3.0,0.0,3.0,0.14,0.0,600.0,920.0,75.0,993.0,651.0,614.0,28.57,43.81,3.57,47.29,31.0,29.24
