,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,Tackles_Won,Tackles_Def_3rd,Tackles_Mid_3rd,Tackles_Att_3rd,Dribblers_Tackled,Dribblers_Challenged,Dribblers_Tackle_W%,Dribblers_Tackle_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Tackles+Interceptions,Clearances,Errors_Shots,Matches
0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1,Matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,48,27,34,14,0,16,32,50.0,16,50,25,25,68,116,104,0,Matches
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0,Matches
3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0,Matches
4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,11,7,4,5,2,2,10,20.0,8,12,1,11,4,15,8,0,Matches
6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0,Matches
8,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,6,3,3,3,0,2,4,50.0,2,6,5,1,5,11,37,1,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0,Matches
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,1998,2.9,2,0,0,1,1,1,4,25.0,3,3,0,3,0,2,1,0,Matches
11,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,50,29,27,14,9,30,46,65.2,16,22,5,17,14,64,25,1,Matches
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,13,6,5,5,3,2,16,12.5,14,18,2,16,8,21,18,0,Matches
14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,23,7,5,16,2,7,25,28.0,18,24,1,23,16,39,19,2,Matches
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,1993,3.7,8,6,3,4,1,3,11,27.3,8,4,0,4,1,9,2,0,Matches
16,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,2003,3.9,15,11,5,8,2,8,16,50.0,8,0,0,0,11,26,6,0,Matches
17,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,21,2000,14.0,27,14,10,14,3,8,15,53.3,7,26,2,24,11,38,12,0,Matches
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2,Matches
19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0,Matches
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,2003,7.4,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0,Matches
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0,Matches
22,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,51,31,24,20,7,23,45,51.1,22,30,9,21,52,103,27,1,Matches
24,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,13.7,44,26,13,26,5,7,20,35.0,13,22,0,22,8,52,6,0,Matches
25,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1,Matches
26,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0,Matches
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,78,53,39,32,7,43,68,63.2,25,19,4,15,44,122,57,0,Matches
28,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
29,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,2002,0.7,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,Matches
30,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,38,26,27,9,2,20,31,64.5,11,16,8,8,22,60,44,0,Matches
31,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,16,9,4,9,3,5,19,26.3,14,8,1,7,19,35,7,0,Matches
32,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3,Matches
33,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0,Matches
34,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,20,2001,20.3,64,36,46,15,3,22,44,50.0,22,24,2,22,22,86,39,1,Matches
35,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0,Matches
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,30.4,36,25,5,19,12,7,40,17.5,33,28,3,25,8,44,31,1,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,33,23,20,11,2,22,32,68.8,10,26,15,11,35,68,58,0,Matches
38,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0,Matches
39,Marley Aké,fr FRA,"FW,MF",Juventus,it Serie A,20,2001,0.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Matches
40,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,16,9,7,8,1,6,8,75.0,2,7,5,2,8,24,23,0,Matches
41,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
42,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,19,2002,0.6,2,0,0,2,0,0,1,0.0,1,2,0,2,0,2,0,0,Matches
43,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0,Matches
44,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,17,10,7,9,1,7,12,58.3,5,4,2,2,2,19,6,0,Matches
45,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,de Bundesliga,26,1995,17.0,33,19,16,11,6,16,28,57.1,12,32,2,30,20,53,29,2,Matches
46,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,23,13,15,6,2,9,19,47.4,10,26,15,11,22,45,70,1,Matches
47,Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23,1998,1.8,7,4,3,4,0,2,5,40.0,3,4,0,4,1,8,4,0,Matches
48,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,31,20,17,10,4,10,31,32.3,21,19,7,12,30,61,31,0,Matches
49,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,6,5,0,2,4,2,5,40.0,3,5,0,5,1,7,6,0,Matches
50,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1,Matches
